2025-04-28 at 11:05:25 | SUCCESS | [测试log] hello, world
2025-04-28 at 11:05:25 | INFO | [测试log] hello, world
2025-04-28 at 11:05:25 | DEBUG | [测试log] hello, world
2025-04-28 at 11:05:25 | WARNING | [测试log] hello, world
2025-04-28 at 11:05:25 | ERROR | [测试log] hello, world
2025-04-28 at 11:05:25 | CRITICAL | [测试log] hello, world
2025-04-28 at 11:06:20 | SUCCESS | [测试log] hello, world
2025-04-28 at 11:06:20 | INFO | [测试log] hello, world
2025-04-28 at 11:06:20 | DEBUG | [测试log] hello, world
2025-04-28 at 11:06:20 | WARNING | [测试log] hello, world
2025-04-28 at 11:06:20 | ERROR | [测试log] hello, world
2025-04-28 at 11:06:20 | CRITICAL | [测试log] hello, world
2025-04-28 at 11:06:39 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:06:39 | DEBUG | {'event': 'message', 'task_id': '0b592166-281b-4f61-8051-679c38919b7f', 'id': '0b4d7588-a583-465f-8941-db2571491563', 'message_id': '0b4d7588-a583-465f-8941-db2571491563', 'conversation_id': 'f5361df4-39ec-4184-8413-81d200b24906', 'mode': 'chat', 'answer': '您刚刚所说的我没有听清楚，请问您是否需要帮助？如果您在说话时感到不舒服，或是有其他什么困扰，随时告诉我，我在这里帮助您。', 'metadata': {'usage': {'prompt_tokens': 1053, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01053', 'completion_tokens': 68, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00204', 'total_tokens': 1121, 'total_price': '0.01257', 'currency': 'USD', 'latency': 5.788736781978514}}, 'created_at': 1745809594}
2025-04-28 at 11:08:19 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
2025-04-28 at 11:08:19 | DEBUG | {'event': 'message', 'task_id': '3c4c6985-573d-4e18-9f91-063acb75f667', 'id': '47bd73bb-9a4e-4bc0-b9d6-d84e2b93353f', 'message_id': '47bd73bb-9a4e-4bc0-b9d6-d84e2b93353f', 'conversation_id': '49d40a3a-8849-471c-810a-1bdc04162c0f', 'mode': 'chat', 'answer': '您刚刚连续咳嗽了三次，要不要我为您查一下最近天气和空气质量？现在北京杨柳飞絮比较多，出门记得戴口罩哦。您要是感觉不舒服，跟我说说，我陪您去医院。', 'metadata': {'usage': {'prompt_tokens': 1052, 'prompt_unit_price': '0.01', 'prompt_price_unit': '0.001', 'prompt_price': '0.01052', 'completion_tokens': 95, 'completion_unit_price': '0.03', 'completion_price_unit': '0.001', 'completion_price': '0.00285', 'total_tokens': 1147, 'total_price': '0.01337', 'currency': 'USD', 'latency': 10.078912829980254}}, 'created_at': 1745809689}
2025-04-28 at 11:08:45 | DEBUG | <module 'chainlit.chat_settings' from '/Users/zhangjun/PycharmProjects/chainlitYY/.venv/lib/python3.10/site-packages/chainlit/chat_settings.py'>
2025-04-28 at 11:08:45 | DEBUG | [{'role': 'assistant', 'content': 'Hello world from Fly.io!'}, {'role': 'user', 'content': 'asdfasdfasdf'}]
2025-04-28 at 11:08:45 | DEBUG | {'opening_statement': '刚才我好像听到了您咳嗽了好几次，是吗？', 'suggested_questions': [], 'suggested_questions_after_answer': {'enabled': True}, 'speech_to_text': {'enabled': False}, 'text_to_speech': {'enabled': False, 'voice': '', 'language': ''}, 'retriever_resource': {'enabled': False}, 'annotation_reply': {'enabled': False}, 'more_like_this': {'enabled': False}, 'user_input_form': [], 'sensitive_word_avoidance': {'enabled': False, 'type': '', 'configs': []}, 'file_upload': {'image': {'detail': 'high', 'enabled': False, 'number_limits': 3, 'transfer_methods': ['remote_url', 'local_file']}, 'enabled': False, 'allowed_file_types': [], 'allowed_file_extensions': ['.JPG', '.JPEG', '.PNG', '.GIF', '.WEBP', '.SVG', '.MP4', '.MOV', '.MPEG', '.MPGA'], 'allowed_file_upload_methods': ['remote_url', 'local_file'], 'number_limits': 3}, 'system_parameters': {'image_file_size_limit': 10, 'video_file_size_limit': 100, 'audio_file_size_limit': 50, 'file_size_limit': 15, 'workflow_file_upload_limit': 10}}
